n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
92	16091	1497291866	0.47734375	0.4716796875	9.533046875	9.5610954958208		
93	16091	1497291867	0.53722895408163	0.35379464285714	9.5290975765306	9.5546548733517		
94	16091	1497291868	0.448671875	0.5203515625	9.54734375	9.5746229206949		
95	16091	1497291869	0.3132421875	0.5806640625	9.61921875	9.6450983245292		
96	16091	1497291870	0.30942234848485	0.5613952020202	9.5699179292929	9.5934988819341		
97	16091	1497291871	0.1904296875	0.2697265625	9.479375	9.4878062283118		
98	16091	1497291872	0.1062890625	0.2045703125	9.5614453125	9.5669012885627		
99	16091	1497291873	0.062736742424242	0.19527304292929	9.5936710858586	9.5969108312586		
100	16091	1497291874	0.123203125	0.163359375	9.541953125	9.5459240560914		
101	16091	1497291875	0.11931818181818	0.16828440656566	9.4854008838384	9.489185458108		
102	16091	1497291876	0.0598046875	0.129453125	9.549296875	9.5512630093471		
103	16091	1497291877	0.087752525252525	0.096156881313131	9.477233270202	9.4788402585332		
104	16091	1497291878	0.10641571969697	0.12133049242424	9.5707859848485	9.5731602426443		
105	16091	1497291879	0.12859375	0.1145703125	9.454296875	9.4571185091191		
106	16091	1497291880	0.241484375	0.140078125	9.55703125	9.5630375901497		
107	16091	1497291881	0.5972975127551	0.11160714285714	9.4662786989796	9.4874695325907		
108	16091	1497291882	0.783671875	0.1791015625	9.4794921875	9.5210667207038		
109	16091	1497291883	0.74309501262626	0.11351799242424	9.5719696969697	9.6033982983917		
110	16091	1497291884	0.781015625	0.2465234375	9.351015625	9.3908048911754		
111	16091	1497291885	0.722578125	0.239453125	9.5267578125	9.5649232991035		
112	16091	1497291886	0.73137626262626	0.14824021464646	9.4605823863636	9.4924504845179		
113	16091	1497291887	0.7427734375	0.18734375	9.4263671875	9.4601160181602		
114	16091	1497291888	0.76052295918367	0.13524394132653	9.4728954081633	9.5070800594823		
115	16091	1497291889	0.7535546875	0.1416796875	9.5226171875	9.5558693378352		
116	16091	1497291890	0.97679924242424	0.087436868686869	9.4468118686869	9.5000181106984		
117	16091	1497291891	1.1050390625	0.0984375	9.4395703125	9.5053983458627		
118	16091	1497291892	1.3243781887755	0.066007653061224	9.4188058035714	9.5125380927047		
119	16091	1497291893	1.301728219697	0.078559027777778	9.4656723484848	9.5560125593882		
120	16091	1497291894	1.28015625	0.0942578125	9.428984375	9.5174252755726		
121	16091	1497291895	1.2630078125	0.1162890625	9.4440234375	9.5303131185431		
122	16091	1497291896	1.041875	0.0805859375	9.46	9.518320991487		
123	16091	1497291897	0.8559375	0.0676953125	9.4540234375	9.4940469788782		
124	16091	1497291898	0.7681640625	0.102265625	9.4896875	9.5218217734025		
125	16091	1497291899	0.76116071428571	0.086375956632653	9.4916693239796	9.5229567540315		
126	16091	1497291900	0.62831439393939	0.065104166666667	9.4676846590909	9.4893411425284		
127	16091	1497291901	0.610546875	0.034765625	9.482734375	9.5026822918375		
128	16091	1497291902	0.59907670454545	0.039496527777778	9.4809027777778	9.5002011946265		
129	16091	1497291903	0.59080038265306	0.060586734693878	9.4984853316327	9.517422370144		
130	16091	1497291904	0.5960546875	0.069921875	9.4668359375	9.4862430587715		
131	16091	1497291905	0.59693137886598	0.24649645618557	9.4995972938144	9.5237357683226		
132	16091	1497291906	0.54984375	0.5578125	9.5071875	9.5406843939257		
133	16091	1497291907	0.51534598214286	0.74119100765306	9.5076929209184	9.5516747358922		
134	16091	1497291908	0.4069674744898	0.81022799744898	9.5198899872449	9.5637889030804		
135	16091	1497291909	0.42705676020408	0.84115911989796	9.4471859056122	9.4948481589198		
136	16091	1497291910	0.5459765625	0.837890625	9.4718359375	9.5267447655682		
137	16091	1497291911	0.74991945876289	0.73699259020619	9.4568701675258	9.5162385616603		
138	16091	1497291912	0.7947265625	0.4441015625	9.455625	9.5003000270041		
139	16091	1497291913	0.7747265625	0.1540234375	9.4524609375	9.4859095004392		
