n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
1	16032	1497115672	1.0685096153846	2.5484525240385	8.8828876201923	9.3974064749218		
2	16032	1497115673	1.1315104166667	1.8032275883838	9.3389362373737	9.6759198920397		
3	16032	1497115674	1.554016729798	3.0537010732323	8.815459280303	9.5397829325424		
4	16032	1497115675	0.8176171875	2.01890625	8.961015625	9.2707955189609		
5	16032	1497115676	1.0501036352041	2.0824697066327	8.9951371173469	9.3210171001344		
6	16032	1497115677	0.5952400128866	2.3790673324742	9.0220280283505	9.3588745582727		
7	16032	1497115678	0.56584246134021	2.3784632731959	8.9984697164948	9.3284296961349		
8	16032	1497115679	0.45429284793814	2.6138853092784	8.9505879510309	9.3364883870607		
9	16032	1497115680	0.74291237113402	2.6518202319588	8.8797519329897	9.3036798532144		
10	16032	1497115681	0.61315524193548	2.6516717069892	8.9270413306452	9.3378104815754		
11	16032	1497115682	0.52130315721649	2.6068379510309	8.922237435567	9.3118527916236		
12	16032	1497115683	0.49266581632653	2.7188695790816	8.8551897321429	9.28155615555		
13	16032	1497115684	0.71711575255102	2.8498485331633	8.8475765306122	9.3280715839897		
14	16032	1497115685	0.6109693877551	2.5746173469388	8.9183274872449	9.3135327419657		
15	16032	1497115686	0.42660984848485	2.8729087752525	8.8249684343434	9.2931967901548		
16	16032	1497115687	1.0359765625	3.06375	8.69953125	9.2928340539695		
17	16032	1497115688	0.90709568298969	3.191768685567	8.7299452319588	9.3680880257893		
18	16032	1497115689	0.60307716836735	2.818359375	8.7865114795918	9.2680924608051		
19	16032	1497115690	0.56257891414141	3.049439709596	8.7563920454545	9.304629971305		
20	16032	1497115691	0.57879577020202	3.0800583964646	8.8255997474747	9.3921321261364		
21	16032	1497115692	0.3581640625	2.9291796875	8.6309375	9.1382744039272		
22	16032	1497115693	0.49103156887755	3.4631696428571	8.6515066964286	9.3924964382624		
23	16032	1497115694	1.0390234375	1.8861328125	9.1930078125	9.5491684223161		
24	16032	1497115695	1.6044428661616	2.1405460858586	8.7912326388889	9.318201928067		
25	16032	1497115696	1.813446969697	1.3590988005051	9.8560211489899	10.250983507001		
26	16032	1497115697	1.3175621811224	1.7449776785714	9.3830516581633	9.7383314643122		
27	16032	1497115698	1.4006640625	2.181875	9.06375	9.6244342524164		
28	16032	1497115699	1.1287854381443	1.4665351159794	8.8991221005155	9.1823090322961		
29	16032	1497115700	1.5409757653061	0.48429528061224	9.1986607142857	9.42672781925		
30	16032	1497115701	0.76833545918367	3.5693957270408	8.9953762755102	9.948088073532		
31	16032	1497115702	0.41890625	5.114765625	7.2384765625	9.0423022503946		
32	16032	1497115703	0.8706640625	4.8351953125	7.8516796875	9.3324952380278		
33	16032	1497115704	0.466171875	4.67734375	7.9090625	9.2275727730129		
