n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
49	16101	1497343959	1.021015625	1.486171875	9.1778515625	9.3610986249262		
50	16101	1497343960	1.00234375	1.5422265625	9.13015625	9.321261950758		
51	16101	1497343961	0.96453125	1.57921875	9.11796875	9.307609065727		
52	16101	1497343962	0.92057291666667	1.5524384469697	9.146148989899	9.3252536370371		
53	16101	1497343963	0.8919921875	1.4794140625	9.1688671875	9.3320726973306		
54	16101	1497343964	0.8565735479798	1.4157196969697	9.1717171717172	9.3216185576708		
55	16101	1497343965	0.79711174242424	1.3046085858586	9.1528172348485	9.2823396029484		
56	16101	1497343966	0.6975	1.354296875	9.2003515625	9.3286831057721		
57	16101	1497343967	0.4688671875	1.353046875	9.2638671875	9.3767645164972		
58	16101	1497343968	0.187890625	1.354375	9.3321484375	9.4359239587169		
59	16101	1497343969	0.376875	1.3091015625	9.20796875	9.3255317797394		
60	16101	1497343970	0.4321484375	1.3719140625	9.2530859375	9.3728386458924		
61	16101	1497343971	0.417890625	1.361015625	9.3188671875	9.4292637757145		
62	16101	1497343972	0.281953125	1.3302734375	9.314296875	9.4157185007985		
63	16101	1497343973	0.28424873737374	1.3387389520202	9.2831833964646	9.3870768777408		
64	16101	1497343974	0.3664700255102	1.3236208545918	9.2169164540816	9.3227826867401		
65	16101	1497343975	0.7728515625	1.387109375	9.247421875	9.3860371968666		
66	16101	1497343976	0.2398828125	1.44046875	9.2496484375	9.3680257648606		
67	16101	1497343977	0.12180397727273	1.4395123106061	9.268860479798	9.383364568244		
68	16101	1497343978	0.1845703125	1.42921875	9.26859375	9.3829326461209		
69	16101	1497343979	0.3662109375	1.443359375	9.2075	9.3304661666571		
70	16101	1497343980	0.4305078125	1.40421875	9.2312890625	9.3500924871223		
71	16101	1497343981	0.28652545103093	1.4164787371134	9.1889900128866	9.3057736203404		
72	16101	1497343982	0.1163671875	1.3546484375	9.1718359375	9.2737792924634		
73	16101	1497343983	0.054375	1.38515625	9.277734375	9.3820073111329		
74	16101	1497343984	0.08015625	1.7053125	9.26	9.4176285420115		
75	16101	1497343985	0.11144770408163	1.8813376913265	9.2067522321429	9.3993315432695		
76	16101	1497343986	0.2605859375	1.89546875	9.2365625	9.4357682060453		
77	16101	1497343987	0.21354166666667	1.8852588383838	9.2062421085859	9.4018156032399		
78	16101	1497343988	0.3301953125	1.8025	9.172421875	9.3552242583483		
79	16101	1497343989	0.39520886479592	1.6721141581633	9.1898915816327	9.3515483392877		
80	16101	1497343990	0.353984375	1.678828125	9.1987109375	9.3597735915485		
81	16101	1497343991	0.356328125	1.6176171875	9.2021484375	9.3521957735673		
82	16101	1497343992	0.50749033505155	1.5935889175258	9.1698211984536	9.3239574545822		
83	16101	1497343993	0.56393494897959	1.5200892857143	9.2250876913265	9.3677306074292		
84	16101	1497343994	0.5680859375	1.489921875	9.246484375	9.3838588759794		
85	16101	1497343995	0.5523046875	1.4496484375	9.242578125	9.3726449917658		
86	16101	1497343996	0.61545138888889	1.4311079545455	9.2432528409091	9.3740825804082		
87	16101	1497343997	0.590390625	1.4121875	9.2598828125	9.3857568465139		
88	16101	1497343998	0.71918845663265	1.395846619898	9.2668207908163	9.4001818520147		
89	16101	1497343999	0.13648200757576	1.4112610479798	9.2632575757576	9.3721576957452		
90	16101	1497344000	0.10000797193878	1.4119897959184	9.2587691326531	9.3666494235837		
91	16101	1497344001	0.412890625	1.40234375	9.2569921875	9.3758257265627		
92	16101	1497344002	0.15515625	1.4096875	9.2613671875	9.3701592211178	s	s
93	16101	1497344003	0.217890625	1.4326953125	9.26109375	9.3768466973397		
94	16101	1497344004	0.133203125	1.42828125	9.2552734375	9.3658659274921		
95	16101	1497344005	0.13261521464646	1.4225852272727	9.2670059974747	9.3765649345816		
96	16101	1497344006	0.13301179846939	1.427734375	9.2637914540816	9.3741823911121		
97	16101	1497344007	0.13120167525773	1.4249758376289	9.2611146907216	9.3710849329691		
98	16101	1497344008	0.1321875	1.4219921875	9.2632421875	9.3728531230777		
99	16101	1497344009	0.11136798469388	1.4233498086735	9.2659040178571	9.375758887052		
100	16101	1497344010	0.10859375	1.420859375	9.2712890625	9.3802205376556		
101	16101	1497344011	0.088068181818182	1.4140625	9.2607323232323	9.3685512825988		
102	16101	1497344012	0.087771045918367	1.418606505102	9.2601642219388	9.3686686102837		
103	16101	1497344013	0.084674873737374	1.4135495580808	9.2687815656566	9.3763877890409		
104	16101	1497344014	0.085379464285714	1.4141820790816	9.260084502551	9.3678946380889		
105	16101	1497344015	0.19196428571429	1.4564333545918	9.2568160076531	9.3906612510257		
106	16101	1497344016	0.63265141752577	1.4269088273196	9.2615173969072	9.4065754833295		
107	16101	1497344017	0.5859765625	1.4546484375	9.214921875	9.3943164569356		
108	16101	1497344018	0.1492578125	1.5610546875	9.25671875	9.4008845341529		
109	16101	1497344019	0.67109375	2.371015625	9.46109375	9.8530507178329		
110	16101	1497344020	1.3249684343434	2.3806818181818	8.6325757575758	9.2330652837117		
111	16101	1497344021	1.0288825757576	2.4637784090909	8.8379498106061	9.3554807489787		
112	16101	1497344022	0.5323046875	2.586640625	8.925859375	9.324115726036		
113	16101	1497344023	0.24833170572917	2.7191569010417	8.8647867838542	9.2776715553989		
114	16101	1497344024	0.17522321428571	2.7944435586735	8.8358179209184	9.2691583071228		
115	16101	1497344025	0.1546556122449	2.7878268494898	8.8409598214286	9.2714796153518		
116	16101	1497344026	0.16968271683673	2.7690927933673	8.8536352040816	9.278179189995		
117	16101	1497344027	0.3004225127551	2.6711973852041	8.9027423469388	9.3027215759542	s	d
118	16101	1497344028	0.62630208333333	2.5850423177083	8.9745279947917	9.3656456956248		
119	16101	1497344029	0.84753787878788	2.4489030934343	9.0346433080808	9.3993243139522		
120	16101	1497344030	0.86797664141414	2.4179292929293	9.0460858585859	9.4043351616942		
121	16101	1497344031	0.8944140625	2.4267578125	9.037265625	9.4039792454807		
122	16101	1497344032	0.7600390625	2.336484375	9.07078125	9.3990933052638		
123	16101	1497344033	1.0166015625	2.30859375	9.074296875	9.4375747295954		
124	16101	1497344034	0.88679846938776	2.2797353316327	9.0819913903061	9.407146479401		
125	16101	1497344035	0.7512890625	2.2326953125	9.07609375	9.3779951752777		
126	16101	1497344036	0.65692761479592	2.2627551020408	9.0794802295918	9.3827526111399		
127	16101	1497344037	0.5121484375	2.227421875	9.078125	9.366131922727		
128	16101	1497344038	0.057370580808081	2.2038746843434	9.0510969065657	9.3164536748374		
129	16101	1497344039	0.0750390625	2.040859375	9.0969921875	9.3243999012716		
130	16101	1497344040	0.211640625	1.681953125	9.1774609375	9.3390017524284		
131	16101	1497344041	0.379609375	1.44609375	9.2515625	9.3748446777221		
132	16101	1497344042	0.25645727040816	1.5225605867347	9.2336575255102	9.3641954695234		
133	16101	1497344043	0.18640625	1.5495703125	9.2389453125	9.3717787557582		
134	16101	1497344044	0.1857421875	1.509921875	9.2429296875	9.3685341698801		
135	16101	1497344045	0.2003515625	1.4486328125	9.2417578125	9.3578933775911		
136	16101	1497344046	0.15707859848485	1.6110321969697	9.1940498737374	9.3366784558392		
137	16101	1497344047	0.168203125	1.8594921875	9.136015625	9.3273122808516		
138	16101	1497344048	0.136171875	2.041796875	9.0876171875	9.3160142169487		
139	16101	1497344049	0.39378156565657	1.9156013257576	9.125	9.3405316236872		
140	16101	1497344050	0.39879261363636	1.7508680555556	9.1515546085859	9.3327818159338		
141	16101	1497344051	0.424296875	1.920859375	9.14515625	9.3588415106654		
142	16101	1497344052	0.54359375	1.827109375	9.127421875	9.3261369564373		
143	16101	1497344053	0.56010841836735	1.7716039540816	9.1219706632653	9.3109190481433		
144	16101	1497344054	0.59927398989899	1.762389520202	9.1113873106061	9.3010783161574		
145	16101	1497344055	0.6105859375	1.8346484375	9.135390625	9.3385567285987		
146	16101	1497344056	0.63514046717172	1.8980034722222	9.0964330808081	9.3150467142454		
147	16101	1497344057	0.93039772727273	1.985716540404	9.047821969697	9.3115824764995		
148	16101	1497344058	0.88073979591837	2.0531329719388	9.0710698341837	9.3435331861751		
149	16101	1497344059	0.772265625	2.04015625	9.0396484375	9.3002235541318		
150	16101	1497344060	0.82559974747475	2.0349195075758	9.0445075757576	9.3083189218686		
151	16101	1497344061	1.0173216540404	2.0054056186869	9.0417455808081	9.3226295655936		
152	16101	1497344062	1.66421875	1.9842578125	8.9697265625	9.3454106938728		
153	16101	1497344063	1.134430239899	2.0310132575758	9.0192155934343	9.3240481624883		
