n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
1	16096	1497303037	0.67598684210526	1.7086759868421	11.806743421053	12.000231293348		
2	16096	1497303038	0.76845503826531	1.7993861607143	9.2620774872449	9.5311110681378		
3	16096	1497303039	1.1663671875	1.740625	9.14125	9.4733064015806		
4	16096	1497303040	0.95165019132653	2.4722576530612	8.9198820153061	9.3902867644483		
5	16096	1497303041	1.2002055921053	3.1515213815789	8.9167351973684	9.6394341045142		
6	16096	1497303042	4.3999763257576	3.9260179924242	5.6437815656566	9.8472267039726		
7	16096	1497303043	10.181925455729	5.1563313802083	2.3555501302083	12.104785482821		
8	16096	1497303044	10.859609375	3.74765625	1.159375	11.873981030677		
9	16096	1497303045	10.3541796875	3.4118359375	1.2807421875	11.358878856865		
10	16096	1497303046	10.721141581633	3.8699378188776	1.2134486607143	11.737176029116		
11	16096	1497303047	10.840128580729	3.6404215494792	1.47265625	11.940303159258		
12	16096	1497303048	10.420939127604	3.7694905598958	1.1241455078125	11.485226891815		
13	16096	1497303049	10.060132575758	3.5247001262626	1.322877209596	11.034276864556		
14	16096	1497303050	9.7436328125	3.8484765625	1.2526171875	10.787057900652		
15	16096	1497303051	10.240175189394	4.342408459596	1.5041429924242	11.613559506943		
16	16096	1497303052	10.7945703125	4.35859375	1.567734375	12.385045427781		
17	16096	1497303053	11.47515625	4.4377734375	1.6835546875	12.940750891686		
18	16096	1497303054	10.9510546875	3.9862890625	1.2904296875	12.176011579975		
19	16096	1497303055	10.812578125	4.5516796875	1.3126953125	12.321827030403		
20	16096	1497303056	10.568917410714	5.2898596938776	1.4566326530612	12.568076897397		
21	16096	1497303057	10.394650829082	4.8054846938776	1.6812021683673	11.942514792147		
22	16096	1497303058	10.1308984375	4.203984375	1.3639453125	11.319280626958		
23	16096	1497303059	10.276672979798	3.9938446969697	1.1869081439394	11.396259299148		
24	16096	1497303060	10.666706123737	3.98046875	1.2625078914141	11.73429628409		
25	16096	1497303061	10.761393229167	4.0422770182292	1.2742106119792	11.871624567554		
26	16096	1497303062	10.581548002577	4.5574259020619	1.3224065721649	11.875585448854		
27	16096	1497303063	10.05236037234	4.934217087766	1.6228390957447	11.672230301545		
28	16096	1497303064	9.8715625	5.2853515625	1.4028125	11.556015224214		
29	16096	1497303065	9.4269893685567	5.1108650128866	1.5879510309278	11.265651186701		
30	16096	1497303066	8.5566007653061	3.7216597576531	1.389987244898	9.8038484200295		
31	16096	1497303067	9.2824983891753	4.9158344072165	2.245368878866	11.031032473916		
32	16096	1497303068	8.6979955808081	4.4260179924242	2.2589172979798	10.290383081454		
33	16096	1497303069	8.8475390625	3.1121875	2.7153125	10.603628615481		
34	16096	1497303070	7.3335546875	6.1828515625	4.2121875	11.556044452452		
35	16096	1497303071	8.6599609375	5.254140625	2.93953125	11.397378773314		
36	16096	1497303072	1.7966796875	2.66984375	7.341015625	8.4135075853005		
37	16096	1497303073	0.51053503787879	2.8924794823232	8.866240530303	9.3462214385284		
38	16096	1497303074	0.38024779040404	2.8083570075758	8.8493134469697	9.299100952787		
39	16096	1497303075	1.5495731314433	2.4283182989691	8.1153753221649	8.7918010244718		
40	16096	1497303076	10.401417525773	3.4952883376289	1.6497261597938	11.281045280566		
