n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
99	16090	1497291108	1.2919140625	1.0333984375	9.2994921875	9.4477992884062		
100	16090	1497291109	1.0851253094059	1.0436262376238	9.3225556930693	9.4508726873192		
101	16090	1497291110	1.0734690656566	1.0024857954545	9.303345959596	9.4248952525131		
102	16090	1497291111	0.907109375	1.037109375	9.328515625	9.4404582726627		
103	16090	1497291112	0.3102509469697	1.0033143939394	9.3733033459596	9.4382639904214		
104	16090	1497291113	0.2765234375	0.99015625	9.36265625	9.424960682226		
105	16090	1497291114	0.25562021683673	1.0423708545918	9.3345025510204	9.4015410899043		
106	16090	1497291115	0.2605106314433	1.0030202963918	9.3660196520619	9.4339252258104		
107	16090	1497291116	0.2923828125	1.0087109375	9.3659375	9.4327466783153		
108	16090	1497291117	0.25142045454545	1.0171243686869	9.3701862373737	9.4339956969821		
109	16090	1497291118	1.1052295918367	2.6138791454082	8.6583625637755	9.2575128778169		
110	16090	1497291119	2.06640625	2.391015625	8.9957421875	9.7258423845562		
111	16090	1497291120	0.4738671875	1.081328125	9.2816796875	9.3694306355887		
112	16090	1497291121	0.4682421875	0.965234375	9.25640625	9.3275618608642		
113	16090	1497291122	0.90112058080808	0.88806029040404	9.3485243055556	9.4415144885067		
114	16090	1497291123	0.86324139030612	0.94208386479592	9.187181122449	9.2862064811363		
115	16090	1497291124	0.6480859375	0.920078125	9.375390625	9.4518922252991		
116	16090	1497291125	0.66762066831683	0.98893873762376	9.4124381188119	9.5018127936919		
117	16090	1497291126	0.71915270618557	0.99653672680412	9.2566849226804	9.3535490855936		
118	16090	1497291127	0.74234375	0.9749609375	9.37890625	9.4706346239987		
119	16090	1497291128	0.7294921875	1.06734375	8.9755859375	9.1026421609876		
120	16090	1497291129	0.5780078125	1.0463671875	9.346875	9.4447127065715		
121	16090	1497291130	0.49254261363636	1.089172979798	9.2729245580808	9.3738677918772		
122	16090	1497291131	0.551015625	1.145078125	9.36625	9.5034675087028		
123	16090	1497291132	0.48224431818182	1.0782039141414	9.3491950757576	9.4393922733046		
124	16090	1497291133	0.49352904040404	1.0453361742424	9.3139993686869	9.3899980820159		
125	16090	1497291134	0.47515625	1.0805859375	9.3226953125	9.3987616148318		
126	16090	1497291135	0.44626913265306	1.079440369898	9.3471380739796	9.4216553835574		
127	16090	1497291136	0.2366796875	1.1997265625	9.3549609375	9.4466153769969		
128	16090	1497291137	0.1182922979798	1.3517597853535	9.2534327651515	9.3592204278197		
129	16090	1497291138	0.082149621212121	1.6234217171717	9.2459753787879	9.3903139394491		
130	16090	1497291139	0.1328515625	1.6289453125	9.248359375	9.3941803886401		
131	16090	1497291140	0.2912890625	1.616328125	9.2271484375	9.3739470812743		
132	16090	1497291141	0.31616950757576	1.5903566919192	9.2271938131313	9.3703689813637		
133	16090	1497291142	0.143828125	1.5858203125	9.253359375	9.3921353375621		
134	16090	1497291143	0.075323547979798	1.6139125631313	9.2414378156566	9.3826260652319		
135	16090	1497291144	0.104609375	1.644453125	9.2479296875	9.3955442542865		
136	16090	1497291145	0.1190625	1.671015625	9.228359375	9.3809866263279		
137	16090	1497291146	0.1077178030303	1.679016729798	9.2249053030303	9.3785626537416		
138	16090	1497291147	0.14050542091837	1.7017299107143	9.2100605867347	9.3700553340987		
139	16090	1497291148	0.12719228316327	1.6492745535714	9.2224170918367	9.3714785304015		
140	16090	1497291149	0.2595703125	1.425078125	9.252265625	9.3679140232565		
141	16090	1497291150	0.49515625	1.1465625	9.34046875	9.4316518459952		
142	16090	1497291151	0.30677872474747	1.0992345328283	9.3451309974747	9.423992822165		
143	16090	1497291152	0.12393465909091	1.1139125631313	9.3256786616162	9.3954192338141		
144	16090	1497291153	0.166328125	1.0830078125	9.325546875	9.393934296789		
145	16090	1497291154	0.0991015625	1.1227734375	9.321640625	9.3904578679685		
146	16090	1497291155	0.1151953125	1.096875	9.3326953125	9.3990489392279		
147	16090	1497291156	0.1311158459596	1.1003393308081	9.3158933080808	9.3844218995115		
148	16090	1497291157	0.09328125	1.0988671875	9.3247265625	9.3905008988919		
149	16090	1497291158	0.1032591540404	1.1118607954545	9.3133285984848	9.3811359360792		
150	16090	1497291159	0.1409375	1.093046875	9.3249609375	9.392436219473		
151	16090	1497291160	0.099296875	1.1140625	9.3292578125	9.3970416782797		
